Categoría	Título	Empresa	Ubicación	Contrato	Salario	Experiencia	Fecha publicación	Habilidades	Descripción	Enlace
big-data	Big data	Krell Consulting & Training	Barcelona	Indefinido	N/D	7 años	12/09/2024	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo big data en Barcelona Krell Consulting & Training - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candida	https://www.tecnoempleo.com/big-data-barcelona/big-data-scala-powershell/rf-5a331b8a52aaf388a042
big-data	Data Analyst - GCP / SAP	Segula Technologies	Teletrabajo	Híbrido	N/D	3 años	04/11/2025	ai, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data analystgcp / sap en Hibrido Segula Technologies - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Cand	https://www.tecnoempleo.com/data-analyst-gcp-sap-segula-technologies/etl-excel/rf-1c13194bb26483b6aa4a
big-data	Ingeniero/a de Reporting Senior	N/D	Remoto	Remoto	N/D	8 años	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo ingeniero/a de reporting senior en PANEL Sistemas Informáticos Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato re	https://www.tecnoempleo.com/ingeniero-reporting-senior-panel-sistemas-informat/microstrategy-looker/rf-b4651662c27f4373bf4b
big-data	Desarrollo de soluciones IA - Data Engineer	N/D	N/D	Indefinido	39.000 €	3 años	18/09/2025	ai, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, pandas, power bi, python, r, scikit, spark, sql, tensorflow	Oferta de Empleo desarrollo de soluciones iadata engin en Presencial Baoss Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registr	https://www.tecnoempleo.com/desarrollo-soluciones-ia-data-engineer-baoss/apache-beam-bigquery-kubeflow/rf-ec1e173ee25b43879d40
big-data	Industrial Project Manager	Presencial Inkoova	N/D	Indefinido	N/D	2 años	06/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo industrial project manager en Presencial Inkoova - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidat	https://www.tecnoempleo.com/industrial-project-manager-inkoova/iot-big-data/rf-d1c51c55f237a3584642
big-data	DATA Business Intelligence	Incoming Domain	Madrid	Teletrabajo	21.000 €	N/D	08/11/2025	ai, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data business intelligence en Madrid Incoming Domain - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Cand	https://www.tecnoempleo.com/data-business-intelligence-incoming-domain/aws-iam/rf-ba781cbcc212d321384e
big-data	Senior Data Analytics	Michael Page	Madrid	Híbrido	48.000 €	N/D	24/10/2025	ai, airflow, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo senior data analytics en Hibrido Michael Page - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato r	https://www.tecnoempleo.com/senior-data-analytics-michael-page/sql-bigquery/rf-2df91836826d93b51547
big-data	Data Engineer	Sopra Steria	Barcelona	Prácticas	N/D	N/D	09/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data engineer en Barcelona Sopra Steria - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registr	https://www.tecnoempleo.com/data-engineer-sopra-steria/etl/rf-dc5311f6624ad3ff5547
big-data	Ingeniero/a de Propuestas Data & IA	N/D	Remoto	Remoto	N/D	10 años	05/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo ingeniero/a de propuestas data & ia en PANEL Sistemas Informáticos Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidat	https://www.tecnoempleo.com/ingeniero-propuestas-data-ia-panel-sistemas-inform/inteligencia-artificial/rf-a9fb1b18e2b83366fc46
big-data	Data Analyst	Malmo Axiom Software Solutions	N/D	Indefinido	N/D	N/D	24/07/2025	ai, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data analyst en Malmo Axiom Software Solutions - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato 	https://www.tecnoempleo.com/data-analyst-axiom-software-solutions/sql-bigquery-gcp/rf-52c618b6e28f13777d44
